Time,Output
2088342,lick_right
2089581,lick_left
2089754,lick_right
2089925,active_press
2089926,reward_right
2090117,lick_right
2090233,lick_right
2090988,active_press
2090993,reward_right
2091112,lick_right
2091229,lick_right
2091636,lick_right
2125098,active_press
2125099,reward_right
2125279,lick_right
2125581,lick_right
2125607,active_press
2125739,lick_right
2125875,lick_right
2130645,lick_right
2131071,ContextC
2161097,ContextB
2215126,lick_left
2215246,lick_left
2215376,lick_left
2215640,active_press
2215641,reward_left
2215862,lick_left
2215978,lick_left
2216115,lick_left
2216271,lick_left
2216449,lick_left
2216991,lick_right
2217164,lick_left
2217298,lick_right
2217440,active_press
2217441,reward_left
2217455,lick_left
2217609,lick_left
2217740,lick_left
2217874,lick_left
2218417,lick_right
2218568,lick_left
2218723,lick_left
2218980,lick_left
2219154,lick_right
2221121,ContextC
2240818,active_press
2242518,active_press
2251138,ContextA
2255586,lick_left
2255607,active_press
2255608,reward_right
2255739,lick_left
2255892,lick_right
2256043,lick_left
2256064,active_press
2256211,lick_left
2256348,lick_right
2256526,lick_left
2256690,lick_left
2256864,lick_right
2311163,ContextC
2341181,ContextB
2361036,active_press
2361037,reward_left
2361291,lick_left
2361400,lick_left
2361513,lick_left
2361988,lick_left
2362155,lick_left
2362171,active_press
2362172,reward_left
2362358,lick_left
2362478,lick_left
2362610,lick_left
2363258,lick_left
2363421,lick_left
2363451,active_press
2363452,reward_left
2363620,lick_left
2363748,lick_left
2363883,lick_left
2364190,active_press
2364775,lick_left
2364953,lick_right
2365250,active_press
2365251,reward_left
2365653,lick_left
2365774,lick_left
2365910,lick_left
2371060,lick_left
2371226,lick_left
2371373,lick_left
2373104,lick_left
2373553,lick_left
2373700,lick_left
2373843,lick_left
2374175,lick_right
2401204,ContextC
2402346,active_press
2423353,active_press
2424925,active_press
2426562,active_press
2431225,ContextA
2454055,active_press
2454056,reward_right
2455423,active_press
2455424,reward_right
2455812,lick_right
2455962,lick_right
2456069,lick_right
2456198,active_press
2456223,lick_right
2457737,lick_right
2491251,ContextC
2521269,ContextB
2541019,lick_left
2541165,lick_left
2541843,active_press
2541843,reward_left
2542023,lick_left
2542137,lick_left
2542269,lick_left
2542851,lick_left
2543004,lick_left
2543202,lick_left
2581307,ContextC
2611318,ContextA
2611520,active_press
2611520,reward_right
2611794,lick_left
2640050,active_press
2640051,reward_right
2640394,lick_right
2640506,lick_right
2640637,lick_right
2671335,ContextC
2701341,ContextB
2708591,active_press
2708592,reward_left
2708919,lick_left
2709021,lick_left
2709144,lick_left
2713238,lick_left
2713400,lick_left
2713732,lick_left
2714166,active_press
2714167,reward_left
2714331,lick_left
2714452,lick_left
2714585,lick_left
2714878,active_press
2715105,lick_left
2715398,lick_right
2715539,lick_left
2715728,lick_right
2721132,lick_left
2721291,lick_left
2729988,active_press
2729989,reward_left
2730456,active_press
2730624,lick_left
